,start,end,text
42,259.0,261.0, They still look good. Don't get me wrong.
43,261.0,265.0, But they get all kinds of fingerprints on them like crazy.
44,265.0,269.0, And also my worries about the light colored scratches.
45,269.0,274.0," If you go deep enough, we're all confirmed by Zach J.Rig everything in his video cutting the thing up."
46,274.0,280.0," So because I'm on team no case, I'm going with the all gray phone. I think it looks dope. So I'm going with that."
47,280.0,287.0," I think basically the idea is if you have a perfectly working phone, there's no world where you should upgrade to this one just for the titanium build or just for the slightly thinner bezels."
48,287.0,291.0, But you have to appreciate and put this up next to an iPhone 11.
49,291.0,294.0," Then yeah, you can see the differences compounding over time."
50,294.0,300.0, Just like if you sat in a 992 generation 911 right now after sitting in a 997 generation car.
51,300.0,308.0," But the real highlight of this build here, let's be honest, is there's a new port at the bottom that USB type C,"
52,308.0,315.0," which makes a big difference to people like me who have other gadgets in their life, computers, headphones, mouse keyboard."
53,315.0,317.0," I just bring one charger, it works with everything."
54,317.0,322.0, I have already had this right of passage moment that everyone who gets this phone is going to have
55,322.0,327.0," where you have an existing lightning cable and you try to plug it in and then you're like, oh right, new cable."
56,327.0,329.0, But now I've gotten used to it.
57,329.0,334.0," But the thing is, I could have sworn Apple would do more with this port."
58,334.0,339.0," Like, okay, we know that they're basically forced into doing this by the EU, so shout out to the EU for that."
59,339.0,344.0," Now we have a USB iPhone, but like the only pitch is just, hey, one cable for everything."
60,344.0,346.0," That's it, Apple, really?"
61,346.0,350.0," So like with 30 pin to lightning all those years ago, the benefit was obvious."
62,350.0,352.0, It's just so much smaller of a port.
63,352.0,356.0," So that let them fit more stuff in the phone, plus it's reversible now."
64,356.0,359.0," With this USB Type-C, it's like, okay, it was already small."
65,359.0,360.0, It was already reversible.
66,360.0,362.0, Charging speed did not improve at all.
67,362.0,363.0, It's still 25 watts.
68,363.0,369.0," There's no extra like desktop mode, plug it into a monitor and get, there's no decks or anything like that, right?"
69,369.0,372.0, It's just one cable for everything.
70,372.0,373.0," Okay, fine."
71,373.0,374.0, Sure.
72,374.0,375.0, Welcome to the club.
73,375.0,379.0," You know, iPhone users can now take advantage of the you in USB-C."
74,379.0,387.0, I talked about the handshake it does with plugging directly into other phones and reverse charging them at four and a half watts in the unboxing video.
75,387.0,388.0, That's pretty neat.
76,388.0,393.0," You can also plug in other things, plug in a keyboard and type with it, plug in a monitor."
77,393.0,395.0, It'll mirror your screen at up to 4K 60.
78,395.0,399.0, And the pro phone now supports USB 3.0 data transfer speeds.
79,399.0,407.0, So you can get that pro res footage off the phone noticeably faster and you can actually for the first time shoot video directly onto an external drive.
80,407.0,410.0, Now there's some talk about the cable that comes in the box.
81,410.0,417.0," Remember that nice, high quality braided USB-C cable that comes in the box, but it's only USB 2.0 transfer speeds."
82,417.0,418.0, It's a slow cable.
83,418.0,421.0," So if you have a pro phone, you need to get a faster, separate cable for it."
84,421.0,424.0," That seemed weird to people, but it's not."
85,424.0,425.0, That's very normal.
86,425.0,429.0, Most smartphones come with just a USB-C cable just to charge.
87,429.0,430.0, It's a charging cable.
88,430.0,437.0," If you wanted a data cable, you'd have to buy a thicker, more robust cable that looks the same, but is a data cable."
89,437.0,440.0, It's kind of confusing and annoying actually.
90,440.0,443.0," Welcome to the world of USB-C, my friends."
91,443.0,445.0, It's good to have you.
92,445.0,453.0," But that is a good segue to the main enabler, the new powerhouse chip inside this phone with a new name, the A17 Pro."
93,453.0,458.0, So the base iPhone 15's got last year's A16 Bionic from the 14 Pro.
94,458.0,463.0," And so here's this new, more powerful chip in the highest-end phones, and it's not the A17 Bionic."
95,463.0,466.0," This is the first one with the pro name, A17 Pro."
96,466.0,468.0, And this thing goes kind of crazy on paper.
97,468.0,470.0, It's their first 3-nanometer chip.
98,470.0,475.0," Actually, the first 3-nanometer chip in any phone that we'll probably see for at least another year or two."
99,475.0,476.0, I ran some benchmarks.
100,476.0,481.0, It's literally approaching M1 chip levels of synthetic benchmark scores.
101,481.0,488.0," And compared to last year, it's 10 to 20% more powerful on both the CPU and the GPU, which is very respectable."
102,488.0,492.0, But more power is like more horsepower in a car.
103,492.0,498.0, It's only really useful or noticeable if it lets you do more things with it.
104,498.0,500.0, I'm going to live in this analogy a bit more for a minute.
105,500.0,506.0," But like the last generation, Portion 911 Turbo S, it was already so ballistic fast"
106,506.0,512.0, That you never approach that limit anywhere on public streets until you get to the highest end of performance on the track.
107,512.0,514.0, And the highest end iPhone is the same way.
108,514.0,523.0, Like the pro iPhones been great at just surfing Instagram and texting and doing all the normal web browsing basic stuff you do on a phone.
109,523.0,527.0, And so the only place you'd really notice the extra performance is...
110,527.0,529.0," Well, we got a gaming demo."
111,529.0,534.0, Apple showed these wild demos on the new iPhone at the keynote.
112,534.0,540.0," And just a disclaimer, I'm not much of a phone gamer, so I'll defer the commentary on this to Dave2D."
113,540.0,542.0, You can go watch his video link below.
114,542.0,552.0," But they literally launched exclusive games on the iPhone that are like Resident Evil Village and Assassin's Creed, but not on cut down mobile versions."
115,552.0,559.0, These are literally the same versions with the same assets and same textures and everything from the PlayStation version.
116,559.0,561.0, Because it literally is the PlayStation version.
117,561.0,564.0," That's impressive. Plus, you know, performance headroom is never a bad thing."
118,564.0,574.0," But I think also for me and for a lot of other people, the more impactful things that you'll actually notice about this new chip are in the dedicated parts of it that are for specific tasks."
119,574.0,580.0," Like the new image signal processor lets you take really, really fast lag free photos constantly."
120,580.0,592.0, The new neural engine recognizes portrait mode subjects like people's faces and dogs and cats automatically and lets you go back in time and set a regular photo to a portrait mode photo.
121,592.0,599.0, The USB 3 controller that enables faster data transfer speeds is also on the A17 Pro. All of that is coming from the new chip.
122,599.0,603.0, But what I'm more concerned with at the moment is battery life.
123,603.0,610.0," Okay, so actually it's kind of two main issues that have been popping up that you kind of have to try to figure out."
124,610.0,617.0, Are they ice-glided issues? Are these real problems with the phone? And those are battery life and overheating issues.
125,617.0,624.0," And to be honest, part of the reason this review took longer than normal is I've been really trying to dig into the battery and figure out what's going on here."
126,624.0,630.0," So objectively speaking, these phones have slightly bigger batteries than last year and a new 3nm chip."
127,630.0,637.0," So in a controlled environment, they should do better and they do. They literally last longer on like simple benchmark stuff."
128,637.0,643.0," So that's good news. Now, when I test a phone like normal, I pretty much, I kind of go by feel."
129,643.0,653.0," I always have some mix of good days, some average days, and then some bad days where I can sort of figure out what's draining it, what its weaknesses are, and then I can come to a conclusion from that."
130,653.0,667.0," So now here we are. I get a couple days in. I get a couple weeks in and I've had a good amount of average days. I've had a couple of those bad draining days, but I also haven't had any of those amazing days where I get like nine hours of screen on time."
131,667.0,673.0, I just haven't had any yet. And then we also started to see some of those headlines about battery life potentially being worse.
132,673.0,680.0, And there's also some overheating issues popping up on Twitter or X and some people were asking if mine has had any issues.
133,680.0,687.0," So here's the weird answer. Yes, but not when I would expect. I was two days ago. Literally, I was just at a golf tournament. It was in Florida."
134,687.0,695.0, It was like a hundred degree real feel of something crazy like that. And I'm outside with my phone at max brightness with GPS going all day out in the sun.
135,695.0,702.0," And it was fine. No problem. No overheating issues. But then a couple hours later, I'm on the airplane with my phone in airplane mode."
136,702.0,712.0," And I've got just like music playing on Bluetooth with Spotify and like scrolling through Instagram. And for like five minutes, the phone just gets really hot and just blast through like 5% battery."
137,712.0,718.0," And then it's fine again afterwards. And I'm like, there almost seems to be no rhyme or reason why it does this randomly once in a while."
138,718.0,729.0," So my best theory is that the A17 Pro is just it's a more powerful chip. And so therefore is able to drain power more quickly than before in high intensity settings like gaming, etc."
139,729.0,739.0," And there's also been some issues attributed to iOS 17 bugs, like we're already on 17.0.2. I imagine there's some more updates coming to both iOS and a bunch of apps."
140,739.0,745.0," But by the end of this, I kind of feel like I'm expecting battery life to basically even out to be the same as last year, which is a boring answer."
141,745.0,752.0," But that's kind of what I expect. Now, we can talk all we want about what the word pro actually means in a smartphone."
142,752.0,764.0," But with iPhones, that is mostly meant cameras. And it turns out there is a lot going on with these relatively similar looking cameras on these new profiles, both in hardware and software."
143,764.0,775.0, So you're looking at a new bigger 48 megapixel main camera. There's also an improved ultra wide with a closer up macro capability and a whole telephoto situation that we'll get to in a minute.
144,775.0,789.0," But then with software, there is this whole new intricate image processing pipeline happening. So you know how most smartphones, a lot of them today have like 48 megapixel cameras and they all been down to 12 megapixels."
145,789.0,801.0," They give you 12 megapixel shots. You know, previous iPhones did this. This new one for those who might have missed it is actually by default, spitting out 24 megapixel images instead of 12."
146,802.0,823.0," And it's only about one and a half times the file size. So this new process, which is the same actually across the board for iPhone 15s and 15 pros is it's taking a 48 megapixel full sensor shot for detail information and also taking a full sensor 12 megapixel shot, which is the quad binning for light information and noise."
147,823.0,841.0," And then it's using the neural net to combine them and do a sort of a detail transfer to get you this hybrid 24 megapixel image. It's very complicated, very clever. And the end result is slightly better."
148,841.0,853.0," It's really right in line with what I've been saying. So if you just generally look at photos shot on this camera, it's it's an iPhone photo like they look pretty great. They're awesome with dynamic range and sharpness across the board."
149,853.0,867.0," I still prefer and shoot in the rich contrast profile most of the time. But yeah, mostly the iPhone is one of the best cameras at just pointing and shooting in full auto just getting results that look good, even if it doesn't look the most like real life."
150,867.0,877.0," You know, it's doing the classic relighting and tone mapping and everything we're used to from all this smart HDR. It's all here. And a lot of people like it and it looks good."
151,877.0,887.0," The improved macro mode is also really good. And with this natural fall off with the primary camera without even needing portrait mode, you can get some blurred backgrounds. It's awesome."
152,887.0,899.0," Auto focus is also really, really fast, especially whenever there's a face in the scene, this thing loves seeing faces. And the benefit of the bigger sensor shows itself at night too with even longer handheld captures."
153,899.0,911.0," It's not magic. It's just physics. But you know, does the 24 megapixel make a difference over the 12 megapixel? Well, zoomed out. Absolutely not. They look basically the same."
154,911.0,920.0," So you got to zoom in and even at 50% zoom, you still can't really tell. It's not until you zoom all the way in that you can, okay, you can see a difference."
155,920.0,931.0," You can start to notice a difference in fine detail and contrast. The 15 pro is definitely when you're pixel peeping, more contrasty and sharp when you're all the way zoomed in versus last year."
156,931.0,939.0," But that's just when you've zoomed all the way in. And by the way, once you get past 2x zoom, it's back to kicking out regular 12 megapixel images."
157,939.0,951.0," So again, this is it's like it's a small, small year over year improvement with that tiny amount of like pixel peeping detail, but over a longer distance over a bunch of generations."
158,951.0,967.0," That's the type of thing that adds up. They even on the pro phones did a couple of presets from the one X lens. There's a 24 millimeter all the way zoomed out, then a 28 millimeter, a little bit tighter and a 35 millimeter that all have their own dedicated image processing pipeline"
159,967.0,983.0," presets to maximize detail into these basically super res zoom focal lengths that you can digitally zoom between. I wouldn't exactly call it having extra lenses on the phone, but you know 1.5 X zoom on last year's phone versus 1.5 X zoom on this year's phone."
160,983.0,997.0," Slight difference, but there is a difference. Honestly, the most pro things about these new phones though is definitely their video cameras. So I'm just going to nerd out about these for a second because the iPhone's video capabilities."
161,997.0,1007.0," I've talked about this so much, but they are still so clearly far out in front of the rest of the smartphone world. It doesn't even shoot 8k, which is it's totally capable of with the 48 megapixels. I wish they would let us."
162,1007.0,1027.0," But even just that 4k 30 in full auto, the detail, the autofocus, the slight depth, the dynamic range, the stabilization, they're all world class. I mean, if you want to just look at test footage, the entire electric Rivian delivery van review I did on the autofocus channel was shot on iPhone 15 pro audio included."
163,1027.0,1040.0," I'll drop the link below if you want to watch that whole thing. Also shout out to the new AV1 codec support on the chip that's going to play nice with YouTube. But this year, you can also shoot log, literally a pro camera feature."
164,1040.0,1063.0," Now, it is annoyingly buried several layers deep in the separate settings app, which is really not very pro. But if you find the time to go switch over there and get into log, the iPhone will shoot with way more information that classic flat log look, dynamic range, everything, and you don't have to deal with whatever Apple was going to do with over sharpening and saturation and processing."
165,1063.0,1075.0," Apple has its own transformation let to turn it into SDR or HDR, or you can go in and fully grade yourself to really get the most out of the iPhone's video and it looks really, like really, really good."
166,1075.0,1089.0," So the one thing that I'm going to say to, you know, some pixel peeping at this point is the haloing from point light sources. You know, it's one of the hardest challenges with these tiny optics. So I get why they haven't just fixed it yet, but like, it's pretty bad."
167,1089.0,1099.0," Any time there's any sort of point lights, especially with video, despite whatever new lens coding they're doing, it's pretty dramatic and it seems like it's the worst on the iPhone of any other phone. So it's there."
168,1099.0,1111.0," Going to point it out again, but hey, if that's the biggest downside of iPhone video, I'll definitely take it. And then iPhone 15 Pro Max, the big one is the only one that comes with the new 5x larger telephoto lens."
169,1111.0,1123.0," I would bet my life that that's going to come down to the smaller 16 Pro next year, whatever, but it's only the big one this time. But yeah, it does let you get a little further with Max zoom from 15x to 25x."
170,1123.0,1131.0," It's nice if you do a lot of zoom photos and videos, which is a very specific crowd. There's some people that do that, you know, concert goers, things like that."
171,1131.0,1138.0, But there are just very few people who should buy one just for this lens because it also means you have to have a bigger phone.
172,1138.0,1144.0, And it also happens to mean that your 4x photos just before you get to 5x will actually be worse on this phone.
173,1144.0,1153.0," But yeah, it's not nearly as capable as some of the longer telephoto periscope lens. I mean Samsung has a 10x optical lens that blows this one out the water in terms of reach."
174,1153.0,1166.0, I think Apple's main advantage really is just stabilization. Like they finally do that zoom in preview window on the corner of the viewfinder and they overstabilize the frame so you can zoom all the way in and get a shot in super creeper mode.
175,1166.0,1173.0, It's great. But I'm just going to shamelessly borrow a line from Mr. Mobile because he said it as well as anyone possibly could. And he's right.
176,1173.0,1186.0," Which is just that so much of the differences between these cameras, this one, the last iPhone, the Samsung's, the pixels of the world, so much of the differences between them is software that is hardly even consistent anymore."
177,1186.0,1199.0," So if you are looking for like a hard verdict on like iPhone 15 Pro side by side versus Samsung versus Pixel or Oppo or whatever else, you kind of just have to make it up after a while."
178,1199.0,1207.0," Like yeah, there are going to be certain instances like exact zoom focal lengths where one is sharper than the other. But honestly, at the end of the day, a lot of it is going to be taste."
179,1207.0,1215.0," And so yeah, you just kind of have to figure out which one you like as far as image quality and especially UI, just the actual way you shoot photos and videos."
180,1215.0,1227.0," Which reminds me, I do want to mention this raw max button is hilarious. This is a button to take your full res 48 megapixel pro raw photos, but it just says raw max."
181,1227.0,1239.0," Okay. And if you want to 48 megapixel JPEG, you have to jump back into the settings app, switch it over, then bounce back. And now the button says JPEG max, which is also hilarious."
182,1239.0,1248.0," Last thing I got to say, though, this new pro phone has an action button on this new pro iPhone only because only pros need customization."
183,1248.0,1262.0," Look, I kind of love the action button. But I also need to realize that it's it's kind of either overrated or underrated, depending on who you are. Like on one hand, it's literally a customizable button, like who even saw this coming?"
184,1262.0,1274.0, It replaces the least used button that was on previous iPhones because your phone should always be on mute anyway. And so then you can map this action button to basically anything you want.
185,1274.0,1280.0, You can keep it as a mute switch and it has the same strong haptic so you can tell if it's muted or unmuted in your pocket without looking.
186,1280.0,1291.0, But there's also a bunch of other cool functions you can pick from from launching your camera to a voice recorder to just literally any app on your phone you want through a Siri shortcut.
187,1291.0,1307.0," Your favorite YouTube channel right now is probably making a tutorial on the best Siri shortcuts to map to the action button from launching apps to the specific things inside of apps from unlocking your car to not just launching my favorite Task Manager app,"
188,1307.0,1318.0," but launching a new task inside of my Task Manager app. It just lets me. It's great. It's awesome. Honestly, I hope it gets copied even though a bunch of phones were doing this years ago and then they stopped."
189,1318.0,1333.0," I hope they bring it back now in response to how great this is. But on the other hand, I do kind of feel like for a lot of people, there's going to be one of those things that they play with for like a three or four days and then just kind of forget about it and never use it again."
190,1333.0,1345.0," I mostly think that's because it's not super reachable. Like it's not a one handable button where your fingers usually rest for everyone, especially on the pro max. It's way up there in the corner above the volume buttons."
191,1345.0,1355.0," It could be a cool shutter button for the camera, but the volume buttons already do that. So yeah, I feel like you might as well just end up setting it back to a mute switch and forgetting about it after a few weeks."
192,1355.0,1364.0, But I guess that's fine too. It's one of those things that you just figure out which user you are after use it for a while. Kind of like I've been using the new that eight sleep mattress cover that I was talking about.
193,1364.0,1372.0, I've been using it for about three months now. This is the pod cover that goes on your mattress that either warms you up or cools you down helps you sleep.
194,1372.0,1383.0," Like now that I've used it for a while, I've understood like I was a skeptic at first. But honestly, this is one of those things where I go to a hotel bed and I have a harder time sleeping, which it used to be the other way around."
195,1383.0,1392.0, But I just sleep so much better in the eight sleep bed because it's cooled down to let you get sleep early and then warms up in the morning to help you wake up.
196,1392.0,1404.0," And it's become really clear that temperature is one of the most important factors when it comes to sleep. And it's become real obvious to me that falling asleep faster, getting better quality sleep and then being able to depend on it is something I wouldn't trade for anything."
197,1404.0,1413.0," It's just it took me some time to learn that. Plus, there's an app that shows me all my info about my sleep every night and it lets me adjust the autopilot if I want."
198,1413.0,1419.0," If your partner sleeps at a different side on the same bed, they can adjust the temperature in the app too. It's great."
199,1419.0,1430.0," So I'll leave a link to it below and since they're a great sponsor, they're actually giving you guys $200 off the pod cover if you use code MKBHD at eightsleep.com slash MKBHD."
200,1430.0,1437.0," But anyway, what's the verdict? What's the verdict with the new pro iPhone of 2023?"
201,1437.0,1445.0," It's one of those things where like, I have conversations with friends and I always end up having to try to condense it all and summarize it into like one sentence."
202,1445.0,1456.0," And the truth is like, it's the same phone as last year with USB, a little bit of a faster chip, a little bit of a brighter screen, a little bit of thinner bezels, and like, I don't know, better cameras."
203,1456.0,1462.0, That's kind of it. So you have to decide how much of that is important to you. Are any of those things important to you?
204,1462.0,1470.0," Honestly, USB might be the most important thing about the new iPhone, despite what Apple was hoping."
205,1470.0,1477.0," Welcome to the club, my friends. Thanks for watching. Catch you guys in the next one. Peace."
